Name,Team,Selection Type,Year
Joe Johnson,Atlanta Hawks,Eastern All-Star Replacement Selection,2007
Joe Johnson,Atlanta Hawks,Eastern All-Star Coaches Selection,2008
Joe Johnson,Atlanta Hawks,Eastern All-Star Coaches Selection,2009
Al Horford,Atlanta Hawks,Eastern All-Star Coaches Selection,2010
Joe Johnson,Atlanta Hawks,Eastern All-Star Coaches Selection,2010
Al Horford,Atlanta Hawks,Eastern All-Star Coaches Selection,2011
Joe Johnson,Atlanta Hawks,Eastern All-Star Coaches Selection,2011
Joe Johnson,Atlanta Hawks,Eastern All-Star Coaches Selection,2012
Paul Millsap,Atlanta Hawks,Eastern All-Star Coaches Selection,2014
Al Horford,Atlanta Hawks,Eastern All-Star Coaches Selection,2015
Kyle Korver,Atlanta Hawks,Eastern All-Star Replacement Selection,2015
Paul Millsap,Atlanta Hawks,Eastern All-Star Coaches Selection,2015
Jeff Teague,Atlanta Hawks,Eastern All-Star Coaches Selection,2015
Al Horford,Atlanta Hawks,Eastern All-Star Replacement Selection,2016
Paul Millsap,Atlanta Hawks,Eastern All-Star Coaches Selection,2016
Paul Millsap,Atlanta Hawks,Eastern All-Star Coaches Selection,2017
Trae Young,Atlanta Hawks,Eastern All-Star Fan Vote Selection,2020
Paul Pierce,Boston Celtics,Eastern All-Star Coaches Selection,2004
Paul Pierce,Boston Celtics,Eastern All-Star Coaches Selection,2005
Paul Pierce,Boston Celtics,Eastern All-Star Coaches Selection,2006
Ray Allen,Boston Celtics,Eastern All-Star Replacement Selection,2008
Kevin Garnett,Boston Celtics,Eastern All-Star Fan Vote Selection,2008
Paul Pierce,Boston Celtics,Eastern All-Star Coaches Selection,2008
Ray Allen,Boston Celtics,Eastern All-Star Replacement Selection,2009
Kevin Garnett,Boston Celtics,Eastern All-Star Fan Vote Selection,2009
Paul Pierce,Boston Celtics,Eastern All-Star Coaches Selection,2009
Kevin Garnett,Boston Celtics,Eastern All-Star Fan Vote Selection,2010
Paul Pierce,Boston Celtics,Eastern All-Star Coaches Selection,2010
Rajon Rondo,Boston Celtics,Eastern All-Star Coaches Selection,2010
Ray Allen,Boston Celtics,Eastern All-Star Coaches Selection,2011
Kevin Garnett,Boston Celtics,Eastern All-Star Coaches Selection,2011
Paul Pierce,Boston Celtics,Eastern All-Star Coaches Selection,2011
Rajon Rondo,Boston Celtics,Eastern All-Star Coaches Selection,2011
Paul Pierce,Boston Celtics,Eastern All-Star Coaches Selection,2012
Rajon Rondo,Boston Celtics,Eastern All-Star Replacement Selection,2012
Kevin Garnett,Boston Celtics,Eastern All-Star Fan Vote Selection,2013
Rajon Rondo,Boston Celtics,Eastern All-Star Fan Vote Selection,2013
Isaiah Thomas,Boston Celtics,Eastern All-Star Coaches Selection,2016
Isaiah Thomas,Boston Celtics,Eastern All-Star Coaches Selection,2017
Al Horford,Boston Celtics,Eastern All-Star Coaches Selection,2018
Kyrie Irving,Boston Celtics,Eastern All-Star Fan Vote Selection,2018
Kyrie Irving,Boston Celtics,Eastern All-Star Fan Vote Selection,2019
Jayson Tatum,Boston Celtics,Eastern All-Star Coaches Selection,2020
Kemba Walker,Boston Celtics,Eastern All-Star Fan Vote Selection,2020
Jason Kidd,Brooklyn Nets,Eastern All-Star Coaches Selection,2004
Kenyon Martin,Brooklyn Nets,Eastern All-Star Coaches Selection,2004
Vince Carter,Brooklyn Nets,Eastern All-Star Fan Vote Selection,2005
Vince Carter,Brooklyn Nets,Eastern All-Star Coaches Selection,2006
Vince Carter,Brooklyn Nets,Eastern All-Star Coaches Selection,2007
Jason Kidd,Brooklyn Nets,Eastern All-Star Coaches Selection,2007
Jason Kidd,Brooklyn Nets,Eastern All-Star Fan Vote Selection,2008
Devin Harris,Brooklyn Nets,Eastern All-Star Coaches Selection,2009
Deron Williams,Brooklyn Nets,Eastern All-Star Coaches Selection,2012
Brook Lopez,Brooklyn Nets,Eastern All-Star Replacement Selection,2013
Joe Johnson,Brooklyn Nets,Eastern All-Star Coaches Selection,2014
D'Angelo Russell,Brooklyn Nets,Eastern All-Star Replacement Selection,2019
Gerald Wallace,Charlotte Hornets,Eastern All-Star Coaches Selection,2010
Kemba Walker,Charlotte Hornets,Eastern All-Star Coaches Selection,2017
Kemba Walker,Charlotte Hornets,Eastern All-Star Replacement Selection,2018
Kemba Walker,Charlotte Hornets,Eastern All-Star Fan Vote Selection,2019
Derrick Rose,Chicago Bulls,Eastern All-Star Coaches Selection,2010
Derrick Rose,Chicago Bulls,Eastern All-Star Fan Vote Selection,2011
Luol Deng,Chicago Bulls,Eastern All-Star Coaches Selection,2012
Derrick Rose,Chicago Bulls,Eastern All-Star Fan Vote Selection,2012
Luol Deng,Chicago Bulls,Eastern All-Star Coaches Selection,2013
Joakim Noah,Chicago Bulls,Eastern All-Star Coaches Selection,2013
Joakim Noah,Chicago Bulls,Eastern All-Star Coaches Selection,2014
Jimmy Butler,Chicago Bulls,Eastern All-Star Coaches Selection,2015
Pau Gasol,Chicago Bulls,Eastern All-Star Fan Vote Selection,2015
Jimmy Butler,Chicago Bulls,Eastern All-Star Coaches Selection,2016
Pau Gasol,Chicago Bulls,Eastern All-Star Replacement Selection,2016
Jimmy Butler,Chicago Bulls,Eastern All-Star Fan Vote Selection,2017
Zydrunas Ilgauskas,Cleveland Cavaliers,Eastern All-Star Coaches Selection,2005
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2005
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2006
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2007
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2008
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2009
Mo Williams,Cleveland Cavaliers,Eastern All-Star Replacement Selection,2009
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2010
Kyrie Irving,Cleveland Cavaliers,Eastern All-Star Coaches Selection,2013
Kyrie Irving,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2014
Kyrie Irving,Cleveland Cavaliers,Eastern All-Star Coaches Selection,2015
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2015
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2016
Kyrie Irving,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2017
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2017
Kevin Love,Cleveland Cavaliers,Eastern All-Star Coaches Selection,2017
LeBron James,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2018
Kevin Love,Cleveland Cavaliers,Eastern All-Star Coaches Selection,2018
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2004
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2005
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2006
Josh Howard,Dallas Mavericks,Western All-Star Replacement Selection,2007
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2007
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2008
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2009
Jason Kidd,Dallas Mavericks,Western All-Star Replacement Selection,2010
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2010
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2011
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2012
Dirk Nowitzki,Dallas Mavericks,Western All-Star Coaches Selection,2014
Dirk Nowitzki,Dallas Mavericks,Western All-Star Replacement Selection,2015
Dirk Nowitzki,Dallas Mavericks,Western All-Star Replacement Selection,2019
Luka Doncic,Dallas Mavericks,Western All-Star Fan Vote Selection,2020
Carmelo Anthony,Denver Nuggets,Western All-Star Replacement Selection,2007
Allen Iverson,Denver Nuggets,Western All-Star Coaches Selection,2007
Carmelo Anthony,Denver Nuggets,Western All-Star Fan Vote Selection,2008
Allen Iverson,Denver Nuggets,Western All-Star Fan Vote Selection,2008
Chauncey Billups,Denver Nuggets,Western All-Star Coaches Selection,2009
Carmelo Anthony,Denver Nuggets,Western All-Star Fan Vote Selection,2010
Chauncey Billups,Denver Nuggets,Western All-Star Replacement Selection,2010
Carmelo Anthony,Denver Nuggets,Western All-Star Fan Vote Selection,2011
Nikola Jokic,Denver Nuggets,Western All-Star Coaches Selection,2019
Nikola Jokic,Denver Nuggets,Western All-Star Coaches Selection,2020
Ben Wallace,Detroit Pistons,Eastern All-Star Fan Vote Selection,2004
Ben Wallace,Detroit Pistons,Eastern All-Star Coaches Selection,2005
Chauncey Billups,Detroit Pistons,Eastern All-Star Coaches Selection,2006
Richard Hamilton,Detroit Pistons,Eastern All-Star Coaches Selection,2006
Ben Wallace,Detroit Pistons,Eastern All-Star Coaches Selection,2006
Rasheed Wallace,Detroit Pistons,Eastern All-Star Coaches Selection,2006
Chauncey Billups,Detroit Pistons,Eastern All-Star Coaches Selection,2007
Richard Hamilton,Detroit Pistons,Eastern All-Star Coaches Selection,2007
Chauncey Billups,Detroit Pistons,Eastern All-Star Coaches Selection,2008
Richard Hamilton,Detroit Pistons,Eastern All-Star Coaches Selection,2008
Rasheed Wallace,Detroit Pistons,Eastern All-Star Replacement Selection,2008
Allen Iverson,Detroit Pistons,Eastern All-Star Fan Vote Selection,2009
Andre Drummond,Detroit Pistons,Eastern All-Star Coaches Selection,2016
Andre Drummond,Detroit Pistons,Eastern All-Star Replacement Selection,2018
Blake Griffin,Detroit Pistons,Eastern All-Star Coaches Selection,2019
David Lee,Golden State Warriors,Western All-Star Coaches Selection,2013
Stephen Curry,Golden State Warriors,Western All-Star Fan Vote Selection,2014
Stephen Curry,Golden State Warriors,Western All-Star Fan Vote Selection,2015
Klay Thompson,Golden State Warriors,Western All-Star Coaches Selection,2015
Stephen Curry,Golden State Warriors,Western All-Star Fan Vote Selection,2016
Draymond Green,Golden State Warriors,Western All-Star Coaches Selection,2016
Klay Thompson,Golden State Warriors,Western All-Star Coaches Selection,2016
Stephen Curry,Golden State Warriors,Western All-Star Fan Vote Selection,2017
Kevin Durant,Golden State Warriors,Western All-Star Fan Vote Selection,2017
Draymond Green,Golden State Warriors,Western All-Star Coaches Selection,2017
Klay Thompson,Golden State Warriors,Western All-Star Coaches Selection,2017
Stephen Curry,Golden State Warriors,Western All-Star Fan Vote Selection,2018
Draymond Green,Golden State Warriors,Western All-Star Coaches Selection,2018
Klay Thompson,Golden State Warriors,Western All-Star Coaches Selection,2018
Kevin Durant,Golden State Warriors,Western All-Star Fan Vote Selection,2018
Kevin Durant,Golden State Warriors,Western All-Star Fan Vote Selection,2019
Klay Thompson,Golden State Warriors,Western All-Star Coaches Selection,2019
Stephen Curry,Golden State Warriors,Western All-Star Fan Vote Selection,2019
Steve Francis,Houston Rockets,Western All-Star Fan Vote Selection,2004
Yao Ming,Houston Rockets,Western All-Star Fan Vote Selection,2004
Tracy McGrady,Houston Rockets,Western All-Star Fan Vote Selection,2005
Yao Ming,Houston Rockets,Western All-Star Fan Vote Selection,2005
Tracy McGrady,Houston Rockets,Western All-Star Fan Vote Selection,2006
Yao Ming,Houston Rockets,Western All-Star Fan Vote Selection,2006
Tracy McGrady,Houston Rockets,Western All-Star Fan Vote Selection,2007
Yao Ming,Houston Rockets,Western All-Star Fan Vote Selection,2007
Yao Ming,Houston Rockets,Western All-Star Fan Vote Selection,2008
Yao Ming,Houston Rockets,Western All-Star Fan Vote Selection,2009
Yao Ming,Houston Rockets,Western All-Star Fan Vote Selection,2011
James Harden,Houston Rockets,Western All-Star Coaches Selection,2013
James Harden,Houston Rockets,Western All-Star Coaches Selection,2014
Dwight Howard,Houston Rockets,Western All-Star Coaches Selection,2014
James Harden,Houston Rockets,Western All-Star Coaches Selection,2015
James Harden,Houston Rockets,Western All-Star Coaches Selection,2016
James Harden,Houston Rockets,Western All-Star Fan Vote Selection,2017
James Harden,Houston Rockets,Western All-Star Fan Vote Selection,2018
James Harden,Houston Rockets,Western All-Star Fan Vote Selection,2019
James Harden,Houston Rockets,Western All-Star Fan Vote Selection,2020
Russell Westbrook,Houston Rockets,Western All-Star Coaches Selection,2020
Jermaine O'Neal,Indiana Pacers,Eastern All-Star Fan Vote Selection,2004
Metta World Peace,Indiana Pacers,Eastern All-Star Coaches Selection,2004
Jermaine O'Neal,Indiana Pacers,Eastern All-Star Coaches Selection,2005
Jermaine O'Neal,Indiana Pacers,Eastern All-Star Fan Vote Selection,2006
Jermaine O'Neal,Indiana Pacers,Eastern All-Star Coaches Selection,2007
Danny Granger,Indiana Pacers,Eastern All-Star Coaches Selection,2009
Roy Hibbert,Indiana Pacers,Eastern All-Star Coaches Selection,2012
Paul George,Indiana Pacers,Eastern All-Star Coaches Selection,2013
Paul George,Indiana Pacers,Eastern All-Star Fan Vote Selection,2014
Roy Hibbert,Indiana Pacers,Eastern All-Star Coaches Selection,2014
Paul George,Indiana Pacers,Eastern All-Star Fan Vote Selection,2016
Paul George,Indiana Pacers,Eastern All-Star Coaches Selection,2017
Victor Oladipo,Indiana Pacers,Eastern All-Star Coaches Selection,2018
Victor Oladipo,Indiana Pacers,Eastern All-Star Coaches Selection,2019
Domantas Sabonis,Indiana Pacers,Eastern All-Star Coaches Selection,2020
Elton Brand,Los Angeles Clippers,Western All-Star Coaches Selection,2006
Chris Kaman,Los Angeles Clippers,Western All-Star Replacement Selection,2010
Blake Griffin,Los Angeles Clippers,Western All-Star Coaches Selection,2011
Blake Griffin,Los Angeles Clippers,Western All-Star Fan Vote Selection,2012
Chris Paul,Los Angeles Clippers,Western All-Star Fan Vote Selection,2012
Blake Griffin,Los Angeles Clippers,Western All-Star Fan Vote Selection,2013
Chris Paul,Los Angeles Clippers,Western All-Star Fan Vote Selection,2013
Blake Griffin,Los Angeles Clippers,Western All-Star Fan Vote Selection,2014
Chris Paul,Los Angeles Clippers,Western All-Star Coaches Selection,2014
Blake Griffin,Los Angeles Clippers,Western All-Star Fan Vote Selection,2015
Chris Paul,Los Angeles Clippers,Western All-Star Coaches Selection,2015
Chris Paul,Los Angeles Clippers,Western All-Star Coaches Selection,2016
DeAndre Jordan,Los Angeles Clippers,Western All-Star Coaches Selection,2017
Kawhi Leonard,Los Angeles Clippers,Western All-Star Fan Vote Selection,2020
Kobe Bryant,Los Angeles Lakers,Western All-Star Fan Vote Selection,2004
Shaquille O'Neal,Los Angeles Lakers,Western All-Star Coaches Selection,2004
Kobe Bryant,Los Angeles Lakers,Western All-Star Fan Vote Selection,2005
Kobe Bryant,Los Angeles Lakers,Western All-Star Fan Vote Selection,2006
Kobe Bryant,Los Angeles Lakers,Western All-Star Fan Vote Selection,2007
Kobe Bryant,Los Angeles Lakers,Western All-Star Fan Vote Selection,2008
